tmdbId,title_asli,title_en,year,genres,keywords,cast,country,original_language,poster_url,overview,rating,rating_count,tags,mood
687,Dead Man Walking,Dead Man Walking,1995,Drama,"prison, death penalty, right and justice, rape, rage and hate, unsociability, court case, court, nun, penalty, therapist, sentence, forgiveness, self-discovery, despair, prison cell, socially deprived family, death row, doomed man, death sentence, lethal injection, charity, mercy petition, cowardliness, catholic, angry, dreary, incredulous, depressing, bitter, callous, horrified","['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",United States of America,en,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,7.327,1493,"a death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple. drama prison, death penalty, right and justice, rape, rage and hate, unsociability, court case, court, nun, penalty, therapist, sentence, forgiveness, self-discovery, despair, prison cell, socially deprived family, death row, doomed man, death sentence, lethal injection, charity, mercy petition, cowardliness, catholic, angry, dreary, incredulous, depressing, bitter, callous, horrified ['susan sarandon', 'sean penn', 'robert prosky', 'raymond j. barry', 'r. lee ermey'] a death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple. drama prison, death penalty, right and justice, rape, rage and hate, unsociability, court case, court, nun, penalty, therapist, sentence, forgiveness, self-discovery, despair, prison cell, socially deprived family, death row, doomed man, death sentence, lethal injection, charity, mercy petition, cowardliness, catholic, angry, dreary, incredulous, depressing, bitter, callous, horrified ['susan sarandon', 'sean penn', 'robert prosky', 'raymond j. barry', 'r. lee ermey']",marah
755,From Dusk Till Dawn,From Dusk Till Dawn,1996,Horror | Action | Thriller | Crime,"dancing, showdown, sheriff, sibling relationship, vampire, bank robber, holy water, siege, stripper, priest, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, mexican american border, female stripping, boa constrictor, loss of faith, foot fetish, killer on the run, brothers, barefoot","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",United States of America,en,https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious clientele.",7.0,6458,"after kidnapping a father and his two kids, the gecko brothers head south to a seedy mexican bar to hide out in safety, unaware of its notorious clientele. horror | action | thriller | crime dancing, showdown, sheriff, sibling relationship, vampire, bank robber, holy water, siege, stripper, priest, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, mexican american border, female stripping, boa constrictor, loss of faith, foot fetish, killer on the run, brothers, barefoot ['george clooney', 'quentin tarantino', 'harvey keitel', 'juliette lewis', 'ernest liu'] after kidnapping a father and his two kids, the gecko brothers head south to a seedy mexican bar to hide out in safety, unaware of its notorious clientele. horror | action | thriller | crime dancing, showdown, sheriff, sibling relationship, vampire, bank robber, holy water, siege, stripper, priest, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, mexican american border, female stripping, boa constrictor, loss of faith, foot fetish, killer on the run, brothers, barefoot ['george clooney', 'quentin tarantino', 'harvey keitel', 'juliette lewis', 'ernest liu']",gelisah
880,Antonia,Antonia's Line,1995,Drama | Comedy,"underdog, mentally disabled, suicide, right and justice, rape, free love, parent child relationship, loss of loved one, village life, philosophy, widow, freedom, peasant, village, world war ii, mathematics, feminism, indian summer , family history, single, male homosexuality, domestic violence, university, woman director","['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Carolien Spoor']",Netherlands,nl,https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",6.9,143,"after world war ii, antonia and her daughter, danielle, go back to their dutch hometown, where antonia's late mother has bestowed a small farm upon her. there, antonia settles down and joins a tightly-knit but unusual community. those around her include quirky friend crooked finger, would-be suitor bas and, eventually for antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women. drama | comedy underdog, mentally disabled, suicide, right and justice, rape, free love, parent child relationship, loss of loved one, village life, philosophy, widow, freedom, peasant, village, world war ii, mathematics, feminism, indian summer , family history, single, male homosexuality, domestic violence, university, woman director ['willeke van ammelrooy', 'els dottermans', 'dora van der groen', 'veerle van overloop', 'carolien spoor'] after world war ii, antonia and her daughter, danielle, go back to their dutch hometown, where antonia's late mother has bestowed a small farm upon her. there, antonia settles down and joins a tightly-knit but unusual community. those around her include quirky friend crooked finger, would-be suitor bas and, eventually for antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women. drama | comedy underdog, mentally disabled, suicide, right and justice, rape, free love, parent child relationship, loss of loved one, village life, philosophy, widow, freedom, peasant, village, world war ii, mathematics, feminism, indian summer , family history, single, male homosexuality, domestic violence, university, woman director ['willeke van ammelrooy', 'els dottermans', 'dora van der groen', 'veerle van overloop', 'carolien spoor']",bahagia
197,Braveheart,Braveheart,1995,Action | Drama | History | War,"england, scotland, loss of loved one, idealism, based on true story, catholic, medieval, war, dramatic, powerful","['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",United States of America,en,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",7.943,11040,"enraged at the slaughter of murron, his new bride and childhood love, scottish warrior william wallace slays a platoon of the local english lord's soldiers. this leads the village to revolt and, eventually, the entire country to rise up against english rule. action | drama | history | war england, scotland, loss of loved one, idealism, based on true story, catholic, medieval, war, dramatic, powerful ['mel gibson', 'catherine mccormack', 'sophie marceau', 'patrick mcgoohan', 'angus macfadyen'] enraged at the slaughter of murron, his new bride and childhood love, scottish warrior william wallace slays a platoon of the local english lord's soldiers. this leads the village to revolt and, eventually, the entire country to rise up against english rule. action | drama | history | war england, scotland, loss of loved one, idealism, based on true story, catholic, medieval, war, dramatic, powerful ['mel gibson', 'catherine mccormack', 'sophie marceau', 'patrick mcgoohan', 'angus macfadyen']",marah
11980,The Prophecy,The Prophecy,1995,Fantasy | Horror | Thriller | Action | Drama,"angel, archangel gabriel","['Christopher Walken', 'Elias Koteas', 'Virginia Madsen', 'Eric Stoltz', 'Viggo Mortensen']",United States of America,en,https://image.tmdb.org/t/p/w500/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven. However, it is hidden inside of a Native American girl and only a former priest and a schoolteacher can stop him.",6.5,556,"the angel gabriel comes to earth to collect a soul which will end the stalemated war in heaven. however, it is hidden inside of a native american girl and only a former priest and a schoolteacher can stop him. fantasy | horror | thriller | action | drama angel, archangel gabriel ['christopher walken', 'elias koteas', 'virginia madsen', 'eric stoltz', 'viggo mortensen'] the angel gabriel comes to earth to collect a soul which will end the stalemated war in heaven. however, it is hidden inside of a native american girl and only a former priest and a schoolteacher can stop him. fantasy | horror | thriller | action | drama angel, archangel gabriel ['christopher walken', 'elias koteas', 'virginia madsen', 'eric stoltz', 'viggo mortensen']",gelisah
19155,Пред дождот,Before the Rain,1994,Drama | War,"london, england, monk, mountain, restaurant, war photographer, fashion photographer, albanian, macedonia","['Katrin Cartlidge', 'Rade Šerbedžija', 'Grégoire Colin', 'Labina Mitevska', 'Phyllida Law']",United Kingdom,mk,https://image.tmdb.org/t/p/w500/sAVSVFonnNkup5xnlxDkuRrmI2N.jpg,"The circularity of violence seen in a story that circles on itself. In Macedonia, during the war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.",7.352,186,"the circularity of violence seen in a story that circles on itself. in macedonia, during the war in bosnia, christians hunt an ethnic albanian girl who may have murdered one of their own. a young monk who's taken a vow of silence offers her protection. in london, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant. drama | war london, england, monk, mountain, restaurant, war photographer, fashion photographer, albanian, macedonia ['katrin cartlidge', 'rade šerbedžija', 'grégoire colin', 'labina mitevska', 'phyllida law'] the circularity of violence seen in a story that circles on itself. in macedonia, during the war in bosnia, christians hunt an ethnic albanian girl who may have murdered one of their own. a young monk who's taken a vow of silence offers her protection. in london, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant. drama | war london, england, monk, mountain, restaurant, war photographer, fashion photographer, albanian, macedonia ['katrin cartlidge', 'rade šerbedžija', 'grégoire colin', 'labina mitevska', 'phyllida law']",marah
40156,Priest,Priest,1995,Drama | Romance,"child abuse, sexual abuse, faith, confession, communion, celibacy, forbidden love, sin, priest, religion, morality, church, incest, roman catholic church, united kingdom, catholicism, confessional, catholic priest, crisis of faith, woman director, secret relationship, moral dilemma, abuse, holy communion, religious belief, gay theme, gay relationship, homosexuality, gay priest, liverpool, rahip","['Linus Roache', 'Tom Wilkinson', 'Robert Carlyle', 'Cathy Tyson', 'Lesley Sharp']",United Kingdom,en,https://image.tmdb.org/t/p/w500/yCZ2eGJb78HzaYthNwVF8R0G6BG.jpg,The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.,6.24,148,"the deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation. drama | romance child abuse, sexual abuse, faith, confession, communion, celibacy, forbidden love, sin, priest, religion, morality, church, incest, roman catholic church, united kingdom, catholicism, confessional, catholic priest, crisis of faith, woman director, secret relationship, moral dilemma, abuse, holy communion, religious belief, gay theme, gay relationship, homosexuality, gay priest, liverpool, rahip ['linus roache', 'tom wilkinson', 'robert carlyle', 'cathy tyson', 'lesley sharp'] the deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation. drama | romance child abuse, sexual abuse, faith, confession, communion, celibacy, forbidden love, sin, priest, religion, morality, church, incest, roman catholic church, united kingdom, catholicism, confessional, catholic priest, crisis of faith, woman director, secret relationship, moral dilemma, abuse, holy communion, religious belief, gay theme, gay relationship, homosexuality, gay priest, liverpool, rahip ['linus roache', 'tom wilkinson', 'robert carlyle', 'cathy tyson', 'lesley sharp']",rindu
108,Trois couleurs : Bleu,Three Colors: Blue,1993,Drama,"france, paris, france, composer, pain, to compose, loss of loved one, psychological drama, french","['Juliette Binoche', 'Benoît Régent', 'Florence Pernel', 'Charlotte Véry', 'Hélène Vincent']",France,fr,https://image.tmdb.org/t/p/w500/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",7.634,1882,"the wife of a famous composer survives a car accident that kills her husband and daughter. now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected. drama france, paris, france, composer, pain, to compose, loss of loved one, psychological drama, french ['juliette binoche', 'benoît régent', 'florence pernel', 'charlotte véry', 'hélène vincent'] the wife of a famous composer survives a car accident that kills her husband and daughter. now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected. drama france, paris, france, composer, pain, to compose, loss of loved one, psychological drama, french ['juliette binoche', 'benoît régent', 'florence pernel', 'charlotte véry', 'hélène vincent']",sedih
278,The Shawshank Redemption,The Shawshank Redemption,1994,Drama | Crime,"prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, hopeless, 1940s, voiceover, dramatic, appreciative, exhilarated","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown']",United States of America,en,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.7,30213,"imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope. drama | crime prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, hopeless, 1940s, voiceover, dramatic, appreciative, exhilarated ['tim robbins', 'morgan freeman', 'bob gunton', 'william sadler', 'clancy brown'] imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope. drama | crime prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, hopeless, 1940s, voiceover, dramatic, appreciative, exhilarated ['tim robbins', 'morgan freeman', 'bob gunton', 'william sadler', 'clancy brown']",sedih
32636,Vanya on 42nd Street,Vanya on 42nd Street,1994,Drama,,"['Wallace Shawn', 'Julianne Moore', 'Larry Pine', 'Brooke Smith', 'George Gaynes']",United States of America,en,https://image.tmdb.org/t/p/w500/sYkkHsqXyUcFoLbXt4WNwnRRpT1.jpg,"An uninterrupted rehearsal of Chekhov's 'Uncle Vanya' plays out by a company of actors. The setting: their run-down theater with an unusable stage and crumbling ceiling. The play is shown act by act with the briefest of breaks to move props or for refreshments. The lack of costumes, real props and scenery is soon forgotten.",6.633,94,"an uninterrupted rehearsal of chekhov's 'uncle vanya' plays out by a company of actors. the setting: their run-down theater with an unusable stage and crumbling ceiling. the play is shown act by act with the briefest of breaks to move props or for refreshments. the lack of costumes, real props and scenery is soon forgotten. drama  ['wallace shawn', 'julianne moore', 'larry pine', 'brooke smith', 'george gaynes'] an uninterrupted rehearsal of chekhov's 'uncle vanya' plays out by a company of actors. the setting: their run-down theater with an unusable stage and crumbling ceiling. the play is shown act by act with the briefest of breaks to move props or for refreshments. the lack of costumes, real props and scenery is soon forgotten. drama  ['wallace shawn', 'julianne moore', 'larry pine', 'brooke smith', 'george gaynes']",tenang
